#size half single double
12800 0.013312 0.003072 0.010752
140800 0.011552 0.009056 0.017408
268800 0.014208 0.015968 0.045024
396800 0.022848 0.030912 0.065312
524800 0.033888 0.044032 0.090464
652800 0.040768 0.049984 0.10272
780800 0.0424 0.060128 0.119072
908800 0.055168 0.074752 0.139712
1036800 0.058592 0.08304 0.16144
1164800 0.062784 0.095136 0.182816
1292800 0.072896 0.104416 0.199264
1420800 0.078144 0.113664 0.225664
1548800 0.082496 0.123264 0.23968
1676800 0.090848 0.130624 0.265696
1804800 0.099552 0.144064 0.282144
1932800 0.101312 0.154112 0.301792
2060800 0.11376 0.165088 0.31568
2188800 0.1192 0.171232 0.341696
2316800 0.118688 0.184992 0.362432
2444800 0.114688 0.18736 0.383104
2572800 0.115136 0.202752 0.401216
2700800 0.123584 0.211168 0.416288
2828800 0.130336 0.218528 0.447072
2956800 0.137184 0.227872 0.463424
3084800 0.142976 0.239328 0.4816
3212800 0.146656 0.251456 0.49344
3340800 0.151264 0.256832 0.520704
3468800 0.161248 0.26592 0.5416
3596800 0.168256 0.283808 0.558784
3724800 0.167456 0.285952 0.573344
3852800 0.177472 0.294784 0.594112
3980800 0.182112 0.31168 0.6176
4108800 0.188672 0.322784 0.64688
4236800 0.196384 0.330752 0.659296
4364800 0.197664 0.341216 0.678752
4492800 0.202784 0.346688 0.698464
4620800 0.215776 0.35744 0.713152
4748800 0.216832 0.371456 0.733632
4876800 0.215552 0.37936 0.75392
5004800 0.22512 0.389888 0.806816
5132800 0.230176 0.393408 0.796288
5260800 0.237408 0.410656 0.815808
5388800 0.239072 0.414816 0.832256
5516800 0.250592 0.448192 0.8576
5644800 0.259936 0.43808 0.873856
5772800 0.260064 0.448768 0.923616
5900800 0.269312 0.459776 0.90768
6028800 0.268448 0.469472 0.92592
6156800 0.273344 0.47904 0.962656
6284800 0.2808 0.48704 0.977984
6412800 0.289632 0.499648 0.997696
6540800 0.292576 0.505632 1.00512
6668800 0.301088 0.514688 1.03584
6796800 0.307328 0.5288 1.0816
6924800 0.31232 0.535808 1.07146
7052800 0.324032 0.548608 1.09862
7180800 0.333184 0.552736 1.11104
7308800 0.327776 0.568672 1.13472
7436800 0.344544 0.58224 1.15408
7564800 0.346592 0.583104 1.16643
7692800 0.351008 0.603712 1.19853
7820800 0.358272 0.607872 1.21395
7948800 0.362848 0.620832 1.23546
8076800 0.369056 0.626336 1.2393
8204800 0.373632 0.635616 1.27565
8332800 0.380192 0.648576 1.29347
8460800 0.380768 0.654976 1.31587
8588800 0.39104 0.665152 1.33014
8716800 0.393664 0.681696 1.37187
8844800 0.39952 0.691008 1.36621
8972800 0.406976 0.696224 1.38448
9100800 0.424992 0.709248 1.41491
9228800 0.417056 0.719136 1.4336
9356800 0.421856 0.72592 1.43562
9484800 0.431776 0.740608 1.47408
9612800 0.437536 0.775232 1.49187
9740800 0.440096 0.75664 1.51565
9868800 0.449984 0.76448 1.52784
9996800 0.45568 0.777888 1.5535
10124800 0.465248 0.788192 1.57267
10252800 0.465536 0.795872 1.59446
10380800 0.467072 0.800768 1.63837
10508800 0.476608 0.810752 1.61712
10636800 0.479648 0.827296 1.64678
10764800 0.491424 0.835168 1.66314
10892800 0.496768 0.843968 1.7241
11020800 0.499616 0.857696 1.71645
11148800 0.528064 0.866848 1.72499
11276800 0.508448 0.876448 1.75885
11404800 0.51888 0.881216 1.7735
11532800 0.544096 0.89152 1.79536
11660800 0.52688 0.905888 1.81392
11788800 0.532704 0.915552 1.84176
11916800 0.542816 0.926176 1.83872
12044800 0.544416 0.937792 1.8761
12172800 0.547552 0.950784 1.91824
12300800 0.558848 0.958688 1.9024
12428800 0.564576 0.969408 1.92298
12556800 0.567264 0.976096 1.94682
12684800 0.572704 0.983104 1.9999
