#size FFTW clFFT cuFFT
2 25.717793 1175.925781 848.179260
4 1.008192 135.417892 0.597440
8 0.398688 71.823296 0.563168
16 0.354176 66.903908 0.554624
32 0.738592 67.446404 0.542368
64 1.487552 67.234467 0.539264
128 5.801856 69.162819 0.540832
256 0.928736 73.677437 0.551360
512 2.116224 69.994881 0.585440
1024 0.754656 71.093636 0.560256
2048 1.053440 82.460129 0.566496
4096 1.121472 90.787582 0.576224
8192 1.434464 87.352638 0.599648
16384 1.269056 85.708061 1.741056
32768 1.594304 72.343231 0.712384
65536 8.830016 72.529472 0.814240
131072 5.572896 90.810623 1.249920
262144 19.730272 107.867844 1.629344
524288 20.359936 80.036705 2.582624
1048576 70.452354 114.127869 4.357728
2097152 89.209122 118.516861 21.699167
4194304 272.493378 109.192352 14.510048
8388608 407.403564 217.538528 59.889889
16777216 858.741882 186.922333 118.995041
33554432 1752.272461 319.255981 236.556549
67108864 4244.442871 411.559082 473.433990
134217728 7141.062988 658.150146 947.148132
268435456 17358.242188 695.775146 1909.660645
